,RB,Overall,Player,AVG
0,1.0,1.0,Christian McCaffrey,1.0
1,2.0,2.0,Saquon Barkley,2.3
2,3.0,3.0,Ezekiel Elliott,2.8
3,4.0,4.0,Derrick Henry,4.8
4,5.0,5.0,Dalvin Cook,5.3
5,6.0,7.0,Alvin Kamara,5.5
6,7.0,9.0,Clyde Edwards-Helaire,7.8
7,8.0,12.0,Josh Jacobs,8.8
8,9.0,8.0,Nick Chubb,9.0
9,10.0,10.0,Joe Mixon,9.8
10,11.0,15.0,Aaron Jones,11.0
11,12.0,22.0,Austin Ekeler,12.3
12,13.0,18.0,Kenyan Drake,12.5
13,14.0,19.0,Miles Sanders,12.5
14,15.0,27.0,Todd Gurley II,16.0
15,16.0,28.0,Chris Carson,16.8
16,17.0,35.0,James Conner,17.3
17,18.0,31.0,David Johnson,18.5
18,19.0,32.0,Jonathan Taylor,19.8
19,20.0,44.0,Le'Veon Bell,21.0
20,21.0,41.0,Melvin Gordon III,21.0
21,22.0,43.0,Mark Ingram II,21.5
22,23.0,46.0,Raheem Mostert,22.0
23,24.0,40.0,Leonard Fournette,22.0
24,25.0,54.0,Devin Singletary,25.5
25,26.0,60.0,Cam Akers,26.5
26,27.0,64.0,David Montgomery,27.3
27,28.0,66.0,Kareem Hunt,27.8
28,29.0,68.0,D'Andre Swift,29.0
29,30.0,84.0,J.K. Dobbins,31.8
30,31.0,79.0,Ronald Jones II,33.0
31,32.0,85.0,Jordan Howard,33.0
32,33.0,88.0,Marlon Mack,34.0
33,34.0,89.0,Kerryon Johnson,35.0
34,35.0,93.0,Phillip Lindsay,35.3
35,36.0,90.0,Sony Michel,36.8
36,37.0,95.0,James White,38.3
37,38.0,109.0,Tarik Cohen ,39.3
38,39.0,105.0,Zack Moss,39.3
39,40.0,101.0,Matt Breida,39.5
40,41.0,103.0,Tevin Coleman,40.8
41,42.0,104.0,Latavius Murray,41.0
42,43.0,124.0,Antonio Gibson,41.3
43,44.0,118.0,Alexander Mattison,44.3
44,45.0,135.0,Chase Edmonds,48.0
45,46.0,140.0,Duke Johnson Jr.,49.0
46,47.0,127.0,Adrian Peterson,49.8
47,48.0,147.0,Boston Scott,49.8
48,49.0,136.0,Darrell Henderson Jr.,46.3
49,50.0,151.0,AJ Dillon,52.0
50,51.0,152.0,Chris Thompson,52.3
51,52.0,156.0,Tony Pollard,47.3
52,53.0,153.0,Justin Jackson,51.3
53,54.0,139.0,Ke'Shawn Vaughn,43.5
54,55.0,170.0,Nyheim Hines,56.3
55,56.0,171.0,Damien Harris,58.0
56,57.0,184.0,Ryquell Armstead ,56.0
57,58.0,179.0,Darrel Williams,58.0
58,59.0,186.0,Bryce Love,67.3
59,60.0,177.0,Rashaad Penny,58.0
60,61.0,332.0,James Robinson,70.0
61,62.0,213.0,Jerick McKinnon,67.7
62,63.0,183.0,Jamaal Williams,59.5
63,64.0,192.0,LeSean McCoy,59.5
64,65.0,211.0,Lamar Miller,57.0
65,66.0,219.0,Joshua Kelley,65.3
66,67.0,194.0,Carlos Hyde,68.0
67,68.0,235.0,Frank Gore,60.0
68,69.0,325.0,Devine Ozigbo,75.0
69,70.0,237.0,Malcolm Brown,62.0
70,71.0,275.0,Jalen Richard,71.0
71,72.0,274.0,Ito Smith,71.0
72,73.0,238.0,Lynn Bowden Jr.,64.0
73,74.0,210.0,Benny Snell Jr.,70.0
74,75.0,262.0,Giovani Bernard,70.5
75,76.0,240.0,Justice Hill,65.0
76,77.0,241.0,Brian Hill,66.0
77,78.0,245.0,Eno Benjamin,67.0
78,79.0,248.0,Darrynton Evans,68.0
79,80.0,249.0,Anthony McFarland Jr.,69.0
80,81.0,251.0,Devonta Freeman,71.0
81,82.0,252.0,Royce Freeman,72.0
82,83.0,254.0,La'Mical Perine,73.0
83,84.0,259.0,Gus Edwards,74.0
84,85.0,278.0,Jaylen Samuels,81.0
85,86.0,281.0,Dion Lewis,82.0
86,87.0,286.0,Rex Burkhead,83.0
87,88.0,290.0,Darwin Thompson,84.0
88,89.0,299.0,Peyton Barber,86.0
89,90.0,316.0,Mike Boone,88.0
90,91.0,330.0,J.D. McKissic,90.0
91,92.0,337.0,Ty Montgomery,92.0
92,93.0,338.0,Kalen Ballage,93.0
93,94.0,341.0,DeeJay Dallas,94.0
94,95.0,345.0,J.J. Taylor,95.0
95,96.0,348.0,Derrius Guice,97.0
96,,,,
97,,,,
